city,region,bairro,property_type,loteamento,price,bedrooms,bathrooms,house_size,lot_size,sqft_above,sqft_basement,floors,waterfront,view,condition,grade,year_built,year_renovated,zipcode,lat,long
Porto Alegre,Capital,Petrópolis,Apartamento,—,925557,3,2.0,119,119,119,0,5.0,0,0,4,8,1975,2000,90010,-30.00858191180731,-51.255999293403256
Nova Petrópolis,Serra Gaúcha,Linha Imperial,Casa,—,576803,4,3.5,121,616,121,0,3.0,0,2,5,9,2002,0,95153,-29.400535288117847,-51.09720491389134
Vila Flores,Serra Gaúcha,Centro,Terreno,Florescer Parque Residencial,268000,0,0.0,0,419,0,0,0.0,0,1,3,6,2018,0,95335,-28.85726066754983,-51.602172856692306
Vila Flores,Serra Gaúcha,Centro,Casa,—,328157,2,3.0,120,719,83,37,1.0,0,3,4,10,1976,0,95341,-28.896169309153244,-51.59633606531862
Caxias do Sul,Serra Gaúcha,São Pelegrino,Apartamento,—,946586,1,1.0,113,113,113,0,8.0,0,4,2,8,1991,0,95014,-29.15136754177521,-51.176261077951324
Porto Alegre,Capital,Centro Histórico,Apartamento,—,1137547,3,1.0,148,148,148,0,6.0,0,1,4,10,1989,2019,90015,-30.026950899551295,-51.252242202333015
Veranópolis,Serra Gaúcha,Renovação,Apartamento,—,175041,2,2.0,62,62,62,0,8.0,0,1,3,9,2007,0,95338,-28.941111254492405,-51.594800690297674
Porto Alegre,Capital,Moinhos de Vento,Terreno,—,1153818,0,0.0,0,762,0,0,0.0,0,3,1,4,2008,0,90011,-30.06451954361091,-51.23132221010188
Porto Alegre,Capital,Partenon,Casa,—,1185058,3,2.0,154,494,154,0,1.0,0,0,3,9,2015,0,90019,-30.04828390489886,-51.22597418239571
Veranópolis,Serra Gaúcha,Femaçã,Terreno,Femaçã médio,191439,0,0.0,0,374,0,0,0.0,0,1,2,3,2014,0,95333,-28.959316515220795,-51.53328203984059
Porto Alegre,Capital,Moinhos de Vento,Casa,—,1790657,2,1.5,231,319,205,26,2.0,0,3,3,10,2020,0,90017,-30.05990997260652,-51.1944100629966
Gramado,Serra Gaúcha,Morada da Serra,Condomínio Residencial,—,7939156,2,2.5,316,536,316,0,1.0,0,1,4,8,2016,0,95674,-29.3614402523021,-50.844636155688214
